###ENTRADA###
90;96;2;31
###SALIDA###
Ingrese las condiciones iniciales: 0.0	90.00	96.00
0.1	90.17	96.05
0.2	90.34	96.01
0.3	90.51	95.87
0.4	90.69	95.63
0.5	90.86	95.29
0.6	91.03	94.85
0.7	91.20	94.32
0.8	91.37	93.69
0.9	91.54	92.96
1.0	91.71	92.13
1.1	91.89	91.20
1.2	92.06	90.18
1.3	92.23	89.05
1.4	92.40	87.83
1.5	92.57	86.51
1.6	92.74	85.10
1.7	92.91	83.58
1.8	93.09	81.97
1.9	93.26	80.26
2.0	93.43	78.45
2.1	93.60	76.54
2.2	93.77	74.53
2.3	93.94	72.43
2.4	94.11	70.23
2.5	94.29	67.93
2.6	94.46	65.53
2.7	94.63	63.04
2.8	94.80	60.44
2.9	94.97	57.75
3.0	95.14	54.96
3.1	95.31	52.07
3.2	95.49	49.09
3.3	95.66	46.00
3.4	95.83	42.82
3.5	96.00	39.54
3.6	96.17	36.16
3.7	96.34	32.68
3.8	96.51	29.11
3.9	96.69	25.44
4.0	96.86	21.67
4.1	97.03	17.80
4.2	97.20	13.83
4.3	97.37	9.77
4.4	97.54	5.60
4.5	97.71	1.34
###ENTRADA###
66;17;11;67
###SALIDA###
Ingrese las condiciones iniciales: 0.0	66.00	17.00
0.1	66.43	17.96
0.2	66.86	18.83
0.3	67.29	19.60
0.4	67.72	20.27
0.5	68.15	20.84
0.6	68.58	21.31
0.7	69.01	21.69
0.8	69.44	21.96
0.9	69.87	22.14
1.0	70.30	22.22
1.1	70.73	22.21
1.2	71.16	22.09
1.3	71.59	21.88
1.4	72.02	21.57
1.5	72.45	21.16
1.6	72.88	20.65
1.7	73.31	20.04
1.8	73.74	19.34
1.9	74.17	18.54
2.0	74.60	17.64
2.1	75.03	16.64
2.2	75.46	15.54
2.3	75.89	14.35
2.4	76.32	13.06
2.5	76.75	11.67
2.6	77.17	10.18
2.7	77.60	8.59
2.8	78.03	6.91
2.9	78.46	5.13
3.0	78.89	3.25
3.1	79.32	1.27
###ENTRADA###
132;37;11;49
###SALIDA###
Ingrese las condiciones iniciales: 0.0	132.00	37.00
0.1	132.72	37.78
0.2	133.44	38.46
0.3	134.16	39.05
0.4	134.89	39.54
0.5	135.61	39.93
0.6	136.33	40.22
0.7	137.05	40.41
0.8	137.77	40.50
0.9	138.49	40.50
1.0	139.22	40.40
1.1	139.94	40.20
1.2	140.66	39.90
1.3	141.38	39.51
1.4	142.10	39.01
1.5	142.82	38.42
1.6	143.55	37.73
1.7	144.27	36.94
1.8	144.99	36.06
1.9	145.71	35.07
